RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
23.0,Qatar,Lusail,Qatar Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2024,1143,57
24.0,United Arab Emirates,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1144,58
1.0,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1145,57
2.0,China,Shanghai,Chinese Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2025,1146,56
3.0,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1147,53
4.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1148,57
5.0,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1149,50
6.0,United States,Miami Gardens,Miami Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2025,1150,57
7.0,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1151,63
8.0,Monaco,Monaco,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1152,78
9.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1153,66
10.0,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1154,70
11.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1155,70
12.0,United Kingdom,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1156,52
13.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2025,1157,44
14.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1158,70
15.0,Netherlands,Zandvoort,Dutch Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1159,72
16.0,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2025,1160,53
